Company Name,Symbol,Sector
Adani Enterprises,ADANIENT.NS,Diversified
Adani Ports & SEZ,ADANIPORTS.NS,Infrastructure
Apollo Hospitals,APOLLOHOSP.NS,Healthcare
Asian Paints,ASIANPAINT.NS,Consumer Durables
Axis Bank,AXISBANK.NS,Banking
Bajaj Auto,BAJAJ-AUTO.NS,Automobile
Bajaj Finance,BAJFINANCE.NS,Financial Services
Bajaj Finserv,BAJAJFINSV.NS,Financial Services
Bharat Petroleum,BPCL.NS,Energy - Oil & Gas
Bharti Airtel,BHARTIARTL.NS,Telecommunication
Britannia Industries,BRITANNIA.NS,Consumer Goods
Cipla,CIPLA.NS,Pharmaceuticals
Coal India,COALINDIA.NS,Energy - Coal
Divi's Laboratories,DIVISLAB.NS,Pharmaceuticals
Dr. Reddy's Laboratories,DRREDDY.NS,Pharmaceuticals
Eicher Motors,EICHERMOT.NS,Automobile
Grasim Industries,GRASIM.NS,Materials
HCLTech,HCLTECH.NS,Information Technology
HDFC,HDFC.NS,Financial Services
HDFC Bank,HDFCBANK.NS,Banking
HDFC Life,HDFCLIFE.NS,Financial Services
Hero MotoCorp,HEROMOTOCO.NS,Automobile
Hindalco Industries,HINDALCO.NS,Metals
Hindustan Unilever,HINDUNILVR.NS,Consumer Goods
ICICI Bank,ICICIBANK.NS,Banking
IndusInd Bank,INDUSINDBK.NS,Banking
Infosys,INFY.NS,Information Technology
ITC,ITC.NS,Consumer Goods
JSW Steel,JSWSTEEL.NS,Metals
Kotak Mahindra Bank,KOTAKBANK.NS,Banking
Larsen & Toubro,LT.NS,Construction
Mahindra & Mahindra,M&M.NS,Automobile
Maruti Suzuki,MARUTI.NS,Automobile
Nestlé India,NESTLEIND.NS,Consumer Goods
NTPC,NTPC.NS,Energy - Power
Oil and Natural Gas Corporation,ONGC.NS,Energy - Oil & Gas
Power Grid,POWERGRID.NS,Energy - Power
Reliance Industries,RELIANCE.NS,Diversified
SBI Life Insurance Company,SBILIFE.NS,Financial Services
State Bank of India,SBIN.NS,Banking
Sun Pharma,SUNPHARMA.NS,Pharmaceuticals
Tata Motors,TATAMOTORS.NS,Automobile
Tata Steel,TATASTEEL.NS,Metals
Tata Consultancy Services,TCS.NS,Information Technology
Tata Consumer Products,TATACONSUM.NS,Consumer Goods
Tech Mahindra,TECHM.NS,Information Technology
Titan Company,TITAN.NS,Consumer Durables
UltraTech Cement,ULTRACEMCO.NS,Materials
UPL,UPL.NS,Chemicals
Wipro,WIPRO.NS,Information Technology
